relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
100,core literature,Efficient Hole Transfer from a Twisted Perylenediimide Acceptor to a Conjugated Polymer in Organic Bulk-Heterojunction Solar Cells,Hyojung Cha,2023,10.3390/ma16020737,https://doi.org/10.3390/ma16020737,crossref,MDPI AG,Materials,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; non-fullerene acceptor; polymer films,False
100,core literature,Organic photovoltaics: 30 years of the bulk heterojunction,Rachel C. Kilbride; Emma L. K. Spooner; Andrew J. Parnell,2026,10.1002/pi.70097,https://doi.org/10.1002/pi.70097,crossref,Wiley,Polymer International,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
100,core literature,Enhanced Photovoltaic Performance of Ternary Small Molecule/Polymer Bulk Heterojunction Solar Cells,Soo Ah Nam; Jinwoo Lee; Joonwon Lim,2026,10.3390/mi17010097,https://doi.org/10.3390/mi17010097,crossref,MDPI AG,Micromachines,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
95.56,core literature,Morphology Control of Monomer–Polymer Hybrid Electron Acceptor for Bulk-Heterojunction Solar Cell Based on P3HT and Ti-Alkoxide with Ladder Polymer,Yasuyuki Ueda; Yuki Kurokawa; Kei Nishii; Hideyuki Kanematsu; Tadashi Fukumoto; Takehito Kato,2022,10.3390/ma15031195,https://doi.org/10.3390/ma15031195,crossref,MDPI AG,Materials,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
95.56,core literature,Polymer Solar Cells with 18.74% Efficiency: From Bulk Heterojunction to Interdigitated Bulk Heterojunction,Xiaopeng Xu; Liyang Yu; Huifeng Meng; Liming Dai; He Yan; Ruipeng Li; Qiang Peng,2022,10.1002/adfm.202108797,https://doi.org/10.1002/adfm.202108797,crossref,Wiley,Advanced Functional Materials,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
95.56,core literature,Bridging the thermodynamics and kinetics of temperature-induced morphology evolution in polymer/fullerene organic solar cell bulk heterojunction,Artem Levitsky; Sebastian Alexander Schneider; Eugen Rabkin; Michael F. Toney; Gitti L. Frey,2021,10.1039/d0mh01805h,https://doi.org/10.1039/d0mh01805h,crossref,Royal Society of Chemistry (RSC),Materials Horizons,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
95.56,core literature,Elasto-morphology of P3HT:PCBM bulk heterojunction organic solar cells,Joydeep Munshi; TeYu Chien; Wei Chen; Ganesh Balasubramanian,2020,10.1039/d0sm00849d,https://doi.org/10.1039/d0sm00849d,crossref,Royal Society of Chemistry (RSC),Soft Matter,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
94.72666666666667,core literature,Polymer/non-fullerene acceptor bulk heterojunction nanoparticles for efficient photocatalytic hydrogen production from water,Yujie Yang; Donghui Li; Pang Wang; Xue Zhang; Huijun Zhang; Baocai Du; Chuanhang Guo; Tao Wang; Dan Liu,2022,10.1016/j.polymer.2022.124667,https://doi.org/10.1016/j.polymer.2022.124667,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
90.6,core literature,Multi-scale mechanical properties of bulk-heterojunction films in polymer solar cells,Tian Zhong; Feng Guo; Shiyun Lei; Biao Xiao; Qingduan Li; Tao Jia; Xunchang Wang; Renqiang Yang,2023,10.1038/s41528-023-00236-5,https://doi.org/10.1038/s41528-023-00236-5,crossref,Springer Science and Business Media LLC,npj Flexible Electronics,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
90.6,core literature,A paradigm study of polymer donor diluted bulk heterojunction films for application in semitransparent organic photovoltaics,Zhenyu Chen; Wei Ma; Han Yan,2023,10.1039/d2ta09472j,https://doi.org/10.1039/d2ta09472j,crossref,Royal Society of Chemistry (RSC),Journal of Materials Chemistry A,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
