relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
84.6,core literature,Enhancing Thermal Conductivity and Tribological Performance of Paper‐Based Friction Materials via One‐Dimensional/Two‐Dimensional Carbon Nanoparticle Composite Coatings,Lu Liu; Chunhui Zhang; Ye Yao; Mingcen Lin,2026,10.1002/pc.70991,https://doi.org/10.1002/pc.70991,crossref,Wiley,Polymer Composites,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
82.72666666666667,core literature,Glassy feature in melts of 3-dimensional architectured polymer blends,Yihui Zhu; Jintian Luo; Qingzhi Zou; Xikai Ouyang; Yifu Ruan; Yuchu Liu; GengXin Liu,2022,10.1016/j.polymer.2021.124336,https://doi.org/10.1016/j.polymer.2021.124336,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer blends; 2-dimensional polymer mixtures; 2-dimensional polymer systems,False
79.56,useful literature,Synergy between Fermi Level of Graphene and Morphology of Polymer Film Allows Broadband or Wavelength‐Sensitive Photodetection,Miao Yu; Yu Chen; Yong‐Gang Chen; Zhi‐Yong Yang; Wei‐Feng Zhang; Gui Yu,2021,10.1002/admi.202100770,https://doi.org/10.1002/admi.202100770,crossref,Wiley,Advanced Materials Interfaces,journal-article,True,polymer film morphology; polymer films,False
79.56,useful literature,Morphology of poly(lactide)‐ block ‐poly(dimethylsiloxane)‐ block ‐polylactide high‐ χ triblock copolymer film studied by grazing incidence small‐angle X‐ray scattering,Guillaume Freychet; Mireille Maret; Marta Fernandez‐Regulez; Raluca Tiron; Ahmed Gharbi; Celia Nicolet; Patrice Gergaud,2020,10.1002/pol.20200196,https://doi.org/10.1002/pol.20200196,crossref,Wiley,Journal of Polymer Science,journal-article,True,polymer film morphology; polymer films,False
77.76666666666667,useful literature,High performance conducting polymer/three-dimensional graphene nanocomposites,Ayesha Kausar,2025,10.1016/b978-0-443-30215-2.00004-4,https://doi.org/10.1016/b978-0-443-30215-2.00004-4,crossref,Elsevier,Three-Dimensional Graphene Nanocomposites,book-chapter,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
77.76666666666667,useful literature,Future applications of polymer-based two-dimensional nanocomposite,Veronica Gonzalez,2025,10.1016/b978-0-443-14131-7.00023-7,https://doi.org/10.1016/b978-0-443-14131-7.00023-7,crossref,Elsevier,Polymers and Two-Dimensional Nanocomposites,book-chapter,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
77.76666666666667,useful literature,Two‐dimensional conjugated polymer frameworks for solar fuel generation from water,Lei Wang; Hangxun Xu,2023,10.1016/j.progpolymsci.2023.101734,https://doi.org/10.1016/j.progpolymsci.2023.101734,crossref,Elsevier BV,Progress in Polymer Science,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
77.76666666666667,useful literature,"Processing, morphology, rheology, properties, and applications of CNT-filled polymer blends",Brian P. Grady,2024,10.1016/b978-0-323-88655-0.00003-3,https://doi.org/10.1016/b978-0-323-88655-0.00003-3,crossref,Elsevier,Nanofillers for Binary Polymer Blends,book-chapter,True,2-dimensional polymer blends; polymer film morphology,False
74.6,useful literature,Resolving conjugated polymer film morphology with polarised transmission and time-resolved emission microscopy,Yang Xu; Lili Sun; Kenneth P Ghiggino; Trevor A Smith,2024,10.1088/2050-6120/ad388f,https://doi.org/10.1088/2050-6120/ad388f,crossref,IOP Publishing,Methods and Applications in Fluorescence,journal-article,True,polymer film morphology,False
74.6,useful literature,Unraveling the influence of polymer spin-casting parameters on polymer thin films via experiments and numerical simulations,Emika Iino; Toshiaki Ougizawa,2026,10.1038/s41428-026-01157-6,https://doi.org/10.1038/s41428-026-01157-6,crossref,Springer Science and Business Media LLC,Polymer Journal,journal-article,True,polymer films,False
